date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:09	69/69	---MCZ	200	added ('OK')	text/plain	date:Sat,%2012%20Sep%202020%2012:41:07%20GMT	http://larissateixeira.adv.br/robots.txt		(from )
09:41:10	57195/57195	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202020%2012:41:07%20GMT	http://larissateixeira.adv.br/	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/index.html	(from )
09:41:11	249/249	---M--	200	added ('Not%20Acceptable')	text/html	date:Sat,%2012%20Sep%202020%2012:41:09%20GMT	http://larissateixeira.adv.br/xmlrpc.php	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/xmlrpc.html	(from http://larissateixeira.adv.br/)
09:41:11	4685/4685	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css?ver=2.14	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/plugins/wysija-newsletters/css/validationEngine.jqueryfc84.css	(from http://larissateixeira.adv.br/)
09:41:13	27802/27802	---MCZ	200	added ('OK')	application/rss+xml	etag:%220e2d6fe867476bbe33c337959db0c70c%22	http://larissateixeira.adv.br/feed/	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/feed/index.html	(from http://larissateixeira.adv.br/)
09:41:17	16845/16845	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.min.css?ver=2.4.5	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.min747d.css	(from http://larissateixeira.adv.br/)
09:41:18	53593/53593	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-includes/css/dist/block-library/style.min7661.css	(from http://larissateixeira.adv.br/)
09:41:19	765/765	---MCZ	200	added ('OK')	application/rss+xml	etag:%22a9b75f64822bea5128ff81d3d9ac4ca6%22	http://larissateixeira.adv.br/comments/feed/	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/comments/feed/index.html	(from http://larissateixeira.adv.br/)
09:41:19	776/776	---MCZ	200	added ('OK')	application/rss+xml	etag:%22a9b75f64822bea5128ff81d3d9ac4ca6%22	http://larissateixeira.adv.br/homepage-layout-1/feed/	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/homepage-layout-1/feed/index.html	(from http://larissateixeira.adv.br/)
09:41:20	1917/1917	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/plugins/contact-form-7/includes/css/styles5fba.css	(from http://larissateixeira.adv.br/)
09:41:26	57976/57976	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.8	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/plugins/revslider/public/assets/css/rs6fe13.css	(from http://larissateixeira.adv.br/)
09:41:27	3628/3628	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/js/libs/owl-carousel/assets/owl.carousel.min.css?ver=5.4.2	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/js/libs/owl-carousel/assets/owl.carousel.min7661.css	(from http://larissateixeira.adv.br/)
09:41:27	14054/14054	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/js/libs/fancybox/jquery.fancybox.css?ver=5.4.2	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/js/libs/fancybox/jquery.fancybox7661.css	(from http://larissateixeira.adv.br/)
09:41:28	33154/33154	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/css/animate.css	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/css/animate.css	(from http://larissateixeira.adv.br/)
09:41:29	11940/11940	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/css/bootstrap.min.css	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/css/bootstrap.min.css	(from http://larissateixeira.adv.br/)
09:41:30	52262/52262	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/css/linear-icons.css	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/css/linear-icons.css	(from http://larissateixeira.adv.br/)
09:41:33	136512/136512	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/css/fontello.css	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/css/fontello.css	(from http://larissateixeira.adv.br/)
09:41:38	138613/138613	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/style.css	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/style.css	(from http://larissateixeira.adv.br/)
09:41:39	17696/17696	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/css/responsive.css	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/css/responsive.css	(from http://larissateixeira.adv.br/)
09:41:40	5108/5108	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2015:35:04%20GMT	http://larissateixeira.adv.br/wp-content/uploads/dynamic_hh_dir/skin_1.css?ver=5f58f6285d352	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/uploads/dynamic_hh_dir/skin_153b5.css	(from http://larissateixeira.adv.br/)
09:41:52	485416/485416	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.2.0	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/plugins/js_composer/assets/css/js_composer.min10df.css	(from http://larissateixeira.adv.br/)
09:41:54	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://larissateixeira.adv.br/)
09:41:59	10385/10385	---M--	200	added ('OK')	application/javascript	date:Fri,%2031%20Jul%202020%2021:40:08%20GMT	http://larissateixeira.adv.br/wp-content/themes/hickshynson/js/libs/modernizr.min.js?ver=5.4.2	A:/Desktop/Nova%20pasta/Site%20Adv/larissateixeira.adv.br/wp-content/themes/hickshynson/js/libs/modernizr.min7661.js	(from http://larissateixeira.adv.br/)
